iter	Logloss
0	0.6897384148
1	0.6869221
2	0.6843751103
3	0.6819572945
4	0.6804209768
5	0.6779745572
6	0.6759373969
7	0.6734521477
8	0.6712920511
9	0.6690412256
10	0.666474319
11	0.6650513277
12	0.6629680429
13	0.6613810218
14	0.6593719646
15	0.6571414302
16	0.655138122
17	0.6526838299
18	0.6498965024
19	0.6473782673
20	0.6449397016
21	0.6426519065
22	0.6407346913
23	0.6394851902
24	0.6373187096
25	0.6354735491
26	0.6330304085
27	0.631836638
28	0.6298866115
29	0.6283249297
30	0.6258962826
31	0.6239067231
32	0.6218874231
33	0.6197149406
34	0.6177417407
35	0.6161697728
36	0.615087932
37	0.6128626649
38	0.6118041246
39	0.6097456414
40	0.6081624502
41	0.6063629103
42	0.6041562884
43	0.6019889838
44	0.6000896425
45	0.5987338691
46	0.597444391
47	0.5958856516
48	0.5938063046
49	0.5917695717
50	0.5904555897
51	0.5888114211
52	0.5868660715
53	0.5848590088
54	0.583327323
55	0.5815122395
56	0.5801220151
57	0.5787185793
58	0.5774419987
59	0.5756660095
60	0.5741320192
61	0.5722013912
62	0.5703634054
63	0.568793316
64	0.5671175146
65	0.565357212
66	0.5637563616
67	0.5624007391
68	0.5609308449
69	0.558783961
70	0.5571184594
71	0.5556602248
72	0.5539573498
73	0.5532396745
74	0.5518019195
75	0.5503184406
76	0.5494459692
77	0.5480385887
78	0.546422523
79	0.5447505171
80	0.5437931745
81	0.5422976481
82	0.5415211726
83	0.5405477084
84	0.539105647
85	0.5379792383
86	0.5369781657
87	0.5358966955
88	0.5352882923
89	0.5342549569
90	0.533137399
91	0.5324556325
92	0.5312058983
93	0.5298574176
94	0.5284444882
95	0.5274325046
96	0.5266717981
97	0.5253657818
98	0.5239960229
99	0.5227898895
100	0.521533493
101	0.5200629028
102	0.5189988555
103	0.5182002486
104	0.5176848733
105	0.5167039989
106	0.5154459842
107	0.5146237181
108	0.5133530287
109	0.5123444771
110	0.5113669793
111	0.5108900268
112	0.5103179476
113	0.5093901241
114	0.5086033012
115	0.5075840554
116	0.5063057623
117	0.5051799199
118	0.5043495197
119	0.5031787376
120	0.5023015004
121	0.501025706
122	0.4999543909
123	0.4992037981
124	0.4979624739
125	0.496918908
126	0.4954735831
127	0.494442912
128	0.4938834351
129	0.493022361
130	0.4919559356
131	0.4908570812
132	0.4893497718
133	0.4884112831
134	0.4873154403
135	0.4862420686
136	0.485444338
137	0.4842337937
138	0.4833985831
139	0.4828785148
140	0.4823118944
141	0.4813896307
142	0.479955736
143	0.4791418539
144	0.4783074035
145	0.477883686
146	0.4768732981
147	0.4756418761
148	0.4750597149
149	0.4739762032
150	0.4730393415
151	0.4721105327
152	0.4711213901
153	0.4700937145
154	0.469163234
155	0.4682606925
156	0.4673528711
157	0.4665080406
158	0.4656236028
159	0.4649140842
160	0.4641097733
161	0.4635284523
162	0.4628517975
163	0.4622253025
164	0.4616204752
165	0.4604504126
166	0.4593653883
167	0.4587227899
168	0.4580229782
169	0.457646291
170	0.4571524978
171	0.4567686474
172	0.4559976896
173	0.4550842829
174	0.4542413319
175	0.4535701729
176	0.4529694577
177	0.4520549506
178	0.4515724609
179	0.45068423
180	0.4503724957
181	0.4495760342
182	0.4484475316
183	0.4481115798
